mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
13.470049071311951,0.13234982540306062,0.011470627784729005,0.0028055297509844376,0.7640415835413256,0.08846938749167613,10,1613,0.8680591793075738,"OrderedDict({'colsample_bytree': 0.7640415835413256, 'learning_rate': 0.08846938749167613, 'max_depth': 10, 'n_estimators': 1613, 'subsample': 0.8680591793075738})",-8.577825790796524,-6.78613060193184,-7.355989348582732,-6.903636775872647,-7.415132336738782,-7.701831485063602,-6.928516583564955,-7.703222195307413,-5.915066480636597,-7.396269679069519,-7.268362127756461,0.6670644902766631,383
8.000245285034179,0.2980249143011751,0.009535646438598633,0.0030494075274428508,0.9349553422213137,0.1410001814373689,5,4759,0.9456511661859803,"OrderedDict({'colsample_bytree': 0.9349553422213137, 'learning_rate': 0.1410001814373689, 'max_depth': 5, 'n_estimators': 4759, 'subsample': 0.9456511661859803})",-8.592731397579877,-6.736846356514173,-7.225195703751001,-6.010858643360628,-7.690442559657953,-8.46277103913136,-7.453532840044071,-7.258673171202341,-6.5729705691337585,-7.528845131397247,-7.353286741177241,0.757501607512344,390
4.739295887947082,0.10744650750282658,0.00951228141784668,0.003909602680473651,0.7779330049204607,0.15677815829096733,4,2195,0.6751820745469395,"OrderedDict({'colsample_bytree': 0.7779330049204607, 'learning_rate': 0.15677815829096733, 'max_depth': 4, 'n_estimators': 2195, 'subsample': 0.6751820745469395})",-8.10305197300055,-6.835320829733824,-7.8678591019068005,-6.924513264191457,-7.960692615998096,-8.648183460724658,-7.217622864552034,-8.587428073088327,-6.6702829003334045,-7.221413969993591,-7.603636905352275,0.687270656309286,400
39.34164025783539,0.20889582874005438,0.015348577499389648,0.004989428270060662,0.9249583953429453,0.0167343965754388,7,4024,0.8092209312217534,"OrderedDict({'colsample_bytree': 0.9249583953429453, 'learning_rate': 0.0167343965754388, 'max_depth': 7, 'n_estimators': 4024, 'subsample': 0.8092209312217534})",-8.373147739508212,-6.377164009289864,-7.043026361709986,-6.310882059733074,-7.631889304136618,-8.03743153107472,-6.920558772942959,-7.5838230053583775,-6.397882878780365,-7.150523006916046,-7.182632866945022,0.6800409720100488,370
19.86615159511566,0.12771442338982558,0.010220646858215332,0.004973195048474205,0.9198213766428692,0.037144037621545944,7,3593,0.9615408290026747,"OrderedDict({'colsample_bytree': 0.9198213766428692, 'learning_rate': 0.037144037621545944, 'max_depth': 7, 'n_estimators': 3593, 'subsample': 0.9615408290026747})",-8.79501000428811,-6.722320752266126,-7.082163571088741,-6.297372045272437,-7.554287680601462,-7.983261480086888,-6.826730190179288,-7.691835443178812,-6.43973445892334,-6.961963474750519,-7.235467910063572,0.7309714865090152,378
3.035686159133911,0.06005541457374041,0.008016610145568847,0.0023392424386358282,0.8936112071942273,0.16678162679202435,4,983,0.920201292582698,"OrderedDict({'colsample_bytree': 0.8936112071942273, 'learning_rate': 0.16678162679202435, 'max_depth': 4, 'n_estimators': 983, 'subsample': 0.920201292582698})",-8.78377935947516,-7.146954482640975,-7.4267543303660855,-6.730167877979768,-7.675006768642327,-8.2412842579377,-7.169726758125502,-7.930840412775675,-6.705334663391113,-7.519258677959442,-7.532910758929374,0.6218201761299897,398
10.559914183616637,0.3499953040038869,0.011036038398742676,0.0034633168189445863,0.8468317434009265,0.10204043807287104,6,4378,0.8370478701222271,"OrderedDict({'colsample_bytree': 0.8468317434009265, 'learning_rate': 0.10204043807287104, 'max_depth': 6, 'n_estimators': 4378, 'subsample': 0.8370478701222271})",-8.54689681224334,-6.867396975786257,-7.484538601606319,-6.605693836701223,-7.632347713372646,-8.109383411896534,-6.769969842372797,-7.8483775059382115,-6.460279285907745,-7.460111498832703,-7.378499548465777,0.6537861826706302,392
9.068632340431213,0.459978874104295,0.00840756893157959,0.0043733619667875815,0.817361227076125,0.15738364519796957,6,4196,0.7296239929137495,"OrderedDict({'colsample_bytree': 0.817361227076125, 'learning_rate': 0.15738364519796957, 'max_depth': 6, 'n_estimators': 4196, 'subsample': 0.7296239929137495})",-7.921346908960587,-6.4012338100335535,-7.450227512457431,-7.201442444630159,-7.717883809407552,-8.294119164882563,-7.672500982040015,-7.770771662394205,-6.507053792476654,-7.5018675327301025,-7.443844762001282,0.5667467077850031,395
13.749812412261964,0.172620882004972,0.009162330627441406,0.004188779039993597,0.9821911945239713,0.08156982208605644,9,2108,0.7524259059189972,"OrderedDict({'colsample_bytree': 0.9821911945239713, 'learning_rate': 0.08156982208605644, 'max_depth': 9, 'n_estimators': 2108, 'subsample': 0.7524259059189972})",-8.484810618865184,-6.790096009083283,-7.15248311360677,-6.4573350368401945,-7.60263685568785,-7.6997173211513426,-6.96938944107447,-7.650874813397726,-6.537888288497925,-7.220279216766357,-7.256551071497111,0.5871707421392228,382
7.508214378356934,0.09554553757731846,0.010441732406616212,0.003734902518721545,0.6014521229018973,0.11588344218319326,8,1310,0.831465734491354,"OrderedDict({'colsample_bytree': 0.6014521229018973, 'learning_rate': 0.11588344218319326, 'max_depth': 8, 'n_estimators': 1310, 'subsample': 0.831465734491354})",-8.39994880480644,-6.44844491420648,-7.287232775565905,-6.701161389473158,-7.97735386383839,-7.760468370486528,-7.03489974584335,-7.744760612646738,-6.743922710418701,-6.895776331424713,-7.29939695187104,0.6087157575386579,385
