iter	Passed	Remaining
407	5532	9478
408	5545	9464
409	5562	9455
410	5585	9457
411	5597	9442
412	5610	9427
413	5624	9414
414	5636	9398
415	5651	9386
416	5664	9372
417	5676	9356
418	5690	9343
419	5703	9328
420	5715	9313
421	5728	9299
422	5741	9283
423	5754	9269
424	5769	9257
425	5784	9246
426	5797	9233
427	5811	9219
428	5823	9203
429	5836	9189
430	5849	9174
431	5862	9160
432	5876	9147
433	5888	9131
434	5901	9116
435	5913	9101
436	5926	9086
437	5938	9070
438	5951	9056
439	5964	9042
440	5980	9032
441	5995	9020
442	6008	9006
443	6021	8990
444	6034	8977
445	6048	8964
446	6062	8951
447	6076	8938
448	6089	8924
449	6101	8908
450	6114	8893
451	6127	8879
452	6140	8864
453	6153	8850
454	6167	8837
455	6182	8826
456	6196	8813
457	6211	8801
458	6223	8786
459	6236	8772
460	6249	8757
461	6262	8743
462	6276	8729
463	6290	8716
464	6303	8703
465	6315	8687
466	6329	8673
467	6341	8658
468	6355	8645
469	6368	8631
470	6380	8615
471	6403	8615
472	6417	8601
473	6429	8585
474	6442	8572
475	6456	8559
476	6469	8544
477	6481	8529
478	6493	8513
479	6507	8500
480	6520	8485
481	6532	8470
482	6544	8455
483	6558	8442
484	6571	8428
485	6585	8415
486	6598	8400
487	6614	8389
488	6627	8376
489	6640	8361
490	6653	8347
491	6665	8332
492	6678	8317
493	6691	8302
494	6704	8288
495	6717	8274
496	6729	8260
497	6742	8245
498	6754	8230
499	6767	8216
500	6780	8201
501	6793	8187
502	6805	8172
503	6822	8162
504	6837	8150
505	6850	8136
506	6864	8123
507	6877	8109
508	6890	8094
509	6903	8080
510	6915	8065
511	6928	8052
512	6941	8037
513	6953	8022
514	6966	8008
515	6979	7994
516	6992	7980
517	7006	7967
518	7023	7957
519	7036	7942
520	7048	7927
521	7060	7913
522	7081	7907
523	7096	7895
524	7108	7880
525	7122	7866
526	7134	7852
527	7146	7837
528	7159	7822
529	7171	7807
530	7184	7792
531	7196	7778
532	7209	7763
533	7222	7750
534	7247	7748
535	7259	7733
536	7273	7719
537	7287	7706
538	7299	7691
539	7312	7677
540	7324	7662
541	7338	7650
542	7351	7635
543	7363	7620
544	7377	7607
545	7389	7592
546	7402	7578
547	7416	7565
548	7429	7551
549	7446	7541
550	7458	7526
551	7471	7512
552	7484	7498
553	7498	7484
554	7511	7470
555	7523	7455
556	7536	7441
557	7549	7427
558	7562	7413
559	7575	7399
560	7587	7384
561	7600	7370
562	7613	7356
563	7625	7341
564	7638	7327
565	7653	7315
566	7666	7301
567	7681	7288
568	7694	7274
569	7707	7260
570	7719	7246
571	7732	7232
572	7746	7219
573	7760	7205
574	7772	7191
575	7784	7176
576	7796	7161
577	7809	7147
578	7821	7132
579	7835	7119
580	7850	7107
581	7864	7094
582	7877	7080
583	7890	7066
584	7902	7051
585	7915	7037
586	7928	7023
587	7941	7009
588	7953	6994
589	7968	6982
590	7981	6968
591	7993	6953
592	8006	6939
593	8018	6924
594	8030	6910
595	8043	6896
596	8066	6891
597	8081	6878
598	8094	6864
599	8107	6850
600	8121	6837
601	8134	6824
602	8149	6811
603	8162	6797
604	8176	6784
605	8189	6770
606	8202	6756
607	8214	6742
608	8227	6727
609	8239	6713
610	8252	6699
611	8266	6686
612	8282	6674
613	8295	6660
614	8307	6645
615	8319	6631
616	8332	6617
617	8345	6603
618	8357	6588
619	8370	6574
620	8384	6561
621	8397	6548
622	8410	6533
623	8422	6518
624	8435	6505
625	8447	6491
626	8461	6477
627	8477	6465
628	8491	6453
629	8504	6439
630	8517	6425
631	8531	6411
632	8543	6397
633	8556	6383
634	8568	6369
635	8581	6355
636	8595	6341
637	8608	6327
638	8620	6313
639	8632	6299
640	8645	6285
641	8658	6271
642	8670	6257
643	8683	6243
644	8699	6231
645	8717	6220
646	8731	6208
647	8745	6194
648	8757	6180
649	8770	6166
650	8783	6152
651	8796	6139
652	8810	6125
653	8823	6111
654	8836	6097
655	8848	6083
656	8862	6069
657	8878	6058
658	8894	6046
659	8909	6034
660	8924	6021
661	8957	6021
662	8972	6008
663	8985	5994
664	9000	5982
665	9014	5969
666	9027	5955
667	9043	5943
668	9057	5930
669	9070	5916
670	9083	5902
671	9096	5888
672	9109	5874
673	9124	5862
674	9138	5848
675	9152	5835
676	9166	5822
677	9180	5808
678	9192	5794
679	9206	5781
680	9219	5767
681	9233	5753
682	9247	5740
683	9260	5726
684	9273	5713
685	9288	5700
686	9304	5688
687	9320	5676
688	9336	5663
689	9349	5650
690	9362	5636
691	9375	5622
692	9388	5608
693	9401	5594
694	9413	5580
695	9426	5566
696	9439	5552
697	9452	5538
698	9465	5525
699	9478	5511
700	9491	5497
701	9504	5483
702	9517	5469
703	9532	5456
704	9545	5442
705	9557	5428
706	9570	5414
707	9584	5401
708	9597	5387
709	9610	5373
710	9622	5359
711	9634	5345
712	9648	5331
713	9661	5317
714	9675	5304
715	9688	5290
716	9700	5276
717	9714	5263
718	9728	5249
719	9744	5237
720	9765	5228
721	9778	5214
722	9791	5200
723	9805	5187
724	9819	5173
725	9832	5160
726	9846	5146
727	9859	5132
728	9872	5118
729	9885	5105
730	9899	5091
731	9912	5077
732	9924	5063
733	9937	5050
734	9951	5036
735	9966	5023
736	9980	5010
737	9995	4997
738	10008	4983
739	10021	4970
740	10033	4956
741	10047	4942
742	10059	4928
743	10072	4914
744	10085	4900
745	10099	4887
746	10112	4873
747	10125	4859
748	10138	4845
749	10152	4832
750	10167	4819
751	10181	4806
752	10236	4812
753	10257	4802
754	10270	4788
755	10282	4774
756	10295	4760
757	10308	4746
758	10322	4732
759	10334	4718
760	10347	4704
761	10363	4692
762	10376	4678
763	10389	4664
764	10403	4650
765	10417	4637
766	10430	4623
767	10443	4609
768	10455	4595
769	10468	4581
770	10480	4567
771	10493	4553
772	10506	4539
773	10519	4525
774	10531	4511
775	10544	4497
776	10557	4483
777	10573	4471
778	10596	4461
779	10609	4447
780	10621	4433
781	10634	4419
782	10647	4405
783	10660	4391
784	10672	4377
785	10685	4363
786	10698	4350
787	10711	4336
788	10725	4322
789	10738	4309
790	10751	4295
791	10764	4281
792	10776	4267
793	10791	4253
794	10806	4241
795	10819	4227
796	10832	4213
797	10845	4199
